2017-06-24 16:31:18 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-frontend-001"
2017-06-24 16:31:22 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-021"
2017-06-24 16:31:22 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-022"
2017-06-24 16:31:23 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-023"
2017-06-24 16:31:23 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-024"
2017-06-24 16:31:23 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-025"
2017-06-24 16:31:23 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-026"
2017-06-24 16:31:23 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-027"
2017-06-24 16:31:24 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-028"
2017-06-24 16:31:24 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-029"
2017-06-24 16:31:24 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-030"
2017-06-24 16:31:24 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-031"
2017-06-24 16:31:24 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-032"
2017-06-24 16:31:25 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-ganglia-server-001"
2017-06-24 16:31:25 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-frontend-001"
2017-06-24 16:31:25 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-001"
2017-06-24 16:31:25 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-002"
2017-06-24 16:31:25 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-003"
2017-06-24 16:31:26 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-004"
2017-06-24 16:31:26 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-005"
2017-06-24 16:31:26 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-006"
2017-06-24 16:31:26 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-007"
2017-06-24 16:31:26 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-008"
2017-06-24 16:31:27 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-009"
2017-06-24 16:31:27 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-010"
2017-06-24 16:31:27 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-011"
2017-06-24 16:31:27 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-012"
2017-06-24 16:31:27 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-013"
2017-06-24 16:31:27 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-014"
2017-06-24 16:31:28 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-015"
2017-06-24 16:31:28 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-016"
2017-06-24 16:31:28 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-017"
2017-06-24 16:31:28 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-018"
2017-06-24 16:31:28 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-019"
2017-06-24 16:31:28 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-020"
2017-06-24 16:31:29 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-021"
2017-06-24 16:31:29 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-022"
2017-06-24 16:31:29 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-023"
2017-06-24 16:31:29 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-024"
2017-06-24 16:31:29 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-025"
2017-06-24 16:31:29 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-026"
2017-06-24 16:31:30 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-027"
2017-06-24 16:31:30 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-028"
2017-06-24 16:31:30 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-029"
2017-06-24 16:31:30 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-030"
2017-06-24 16:31:30 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-031"
2017-06-24 16:31:31 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-032"
2017-06-24 16:31:31 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-postgresql-master-001"
2017-06-24 16:31:31 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-postgresql-worker-001"
2017-06-24 16:31:31 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-postgresql-worker-002"
2017-06-24 16:31:31 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-postgresql-worker-003"
2017-06-24 16:31:31 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-postgresql-worker-004"
2017-06-24 16:31:32 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-postgresql-worker-005"
2017-06-24 16:31:32 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-postgresql-worker-006"
2017-06-24 16:31:32 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-postgresql-worker-007"
2017-06-24 16:31:32 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-postgresql-worker-008"
2017-06-24 16:31:32 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-glusterfs-server-001"
2017-06-24 16:31:32 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-glusterfs-server-002"
2017-06-24 16:31:33 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-glusterfs-server-003"
2017-06-24 16:31:33 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-glusterfs-server-004"
2017-06-24 16:31:33 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-glusterfs-server-005"
2017-06-24 16:31:33 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-glusterfs-server-006"
2017-06-24 16:31:33 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-glusterfs-server-007"
2017-06-24 16:31:33 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-glusterfs-server-008"
2017-06-24 16:31:34 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-postgresql-worker-001"
2017-06-24 16:31:34 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-postgresql-worker-002"
2017-06-24 16:31:34 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-postgresql-worker-003"
2017-06-24 16:31:34 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-postgresql-worker-004"
2017-06-24 16:31:34 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-postgresql-worker-005"
2017-06-24 16:31:35 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-postgresql-worker-006"
2017-06-24 16:31:35 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-postgresql-worker-007"
2017-06-24 16:31:35 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-postgresql-worker-008"
2017-06-24 16:31:35 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-001"
2017-06-24 16:31:35 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-002"
2017-06-24 16:31:36 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-003"
2017-06-24 16:31:36 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-004"
2017-06-24 16:31:36 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-005"
2017-06-24 16:31:36 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-006"
2017-06-24 16:31:36 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-007"
2017-06-24 16:31:36 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-008"
2017-06-24 16:31:37 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-009"
2017-06-24 16:31:37 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-010"
2017-06-24 16:31:37 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-011"
2017-06-24 16:31:37 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-012"
2017-06-24 16:31:37 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-013"
2017-06-24 16:31:38 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-014"
2017-06-24 16:31:38 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-015"
2017-06-24 16:31:38 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-016"
2017-06-24 16:31:38 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-017"
2017-06-24 16:31:38 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-018"
2017-06-24 16:31:38 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-019"
2017-06-24 16:31:39 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-020"
2017-06-24 16:31:39 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-021"
2017-06-24 16:31:39 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-022"
2017-06-24 16:31:39 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-023"
2017-06-24 16:31:39 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-024"
2017-06-24 16:31:40 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-025"
2017-06-24 16:31:40 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-026"
2017-06-24 16:31:40 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-027"
2017-06-24 16:31:40 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-028"
2017-06-24 16:31:40 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-029"
2017-06-24 16:31:40 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-030"
2017-06-24 16:31:41 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-031"
2017-06-24 16:31:41 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-032"
2017-06-24 16:31:41 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-001"
2017-06-24 16:31:41 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-002"
2017-06-24 16:31:41 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-003"
2017-06-24 16:31:41 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-004"
2017-06-24 16:31:42 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-005"
2017-06-24 16:31:42 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-006"
2017-06-24 16:31:42 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-007"
2017-06-24 16:31:42 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-008"
2017-06-24 16:31:42 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-009"
2017-06-24 16:31:43 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-010"
2017-06-24 16:31:43 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-011"
2017-06-24 16:31:43 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-012"
2017-06-24 16:31:43 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-013"
2017-06-24 16:31:43 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-014"
2017-06-24 16:31:44 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-015"
2017-06-24 16:31:44 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-016"
2017-06-24 16:31:44 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-017"
2017-06-24 16:31:44 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-018"
2017-06-24 16:31:44 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-019"
2017-06-24 16:31:44 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-020"
2017-06-24 16:31:45 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-021"
2017-06-24 16:31:45 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-022"
2017-06-24 16:31:45 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-023"
2017-06-24 16:31:45 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-024"
2017-06-24 16:31:45 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-025"
2017-06-24 16:31:45 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-026"
2017-06-24 16:31:46 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-027"
2017-06-24 16:31:46 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-028"
2017-06-24 16:31:46 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-029"
2017-06-24 16:31:46 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-030"
2017-06-24 16:31:46 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-031"
2017-06-24 16:31:46 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-worker-032"
2017-06-24 16:31:47 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-frontend-001"
2017-06-24 16:31:47 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-slurm-frontend-001"
2017-06-24 16:31:47 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-glusterfs-server-001"
2017-06-24 16:31:47 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-glusterfs-server-002"
2017-06-24 16:31:47 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-glusterfs-server-003"
2017-06-24 16:31:48 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-glusterfs-server-004"
2017-06-24 16:31:48 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-glusterfs-server-005"
2017-06-24 16:31:48 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-glusterfs-server-006"
2017-06-24 16:31:48 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-glusterfs-server-007"
2017-06-24 16:31:48 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-glusterfs-server-008"
2017-06-24 16:31:49 | WARNING  | tm_inventory                             | no instance found for host "cluster-128-postgresql-master-001"

PLAY [Provision virtual machine instances] ***************************************************************************************************************************************

TASK [Gathering Facts] ***********************************************************************************************************************************************************
ok: [cluster-128-slurm-worker-007]
ok: [cluster-128-slurm-worker-011]
ok: [cluster-128-slurm-worker-002]
ok: [cluster-128-slurm-worker-001]
ok: [cluster-128-slurm-worker-009]
ok: [cluster-128-slurm-worker-005]
ok: [cluster-128-slurm-worker-010]
ok: [cluster-128-slurm-worker-016]
ok: [cluster-128-slurm-worker-004]
ok: [cluster-128-slurm-worker-013]
ok: [cluster-128-slurm-worker-020]
ok: [cluster-128-slurm-worker-015]
ok: [cluster-128-slurm-worker-018]
ok: [cluster-128-slurm-worker-012]
ok: [cluster-128-slurm-worker-003]
ok: [cluster-128-slurm-worker-017]
ok: [cluster-128-slurm-worker-006]
ok: [cluster-128-slurm-worker-019]
ok: [cluster-128-slurm-worker-008]
ok: [cluster-128-slurm-worker-014]
ok: [cluster-128-slurm-worker-021]
ok: [cluster-128-slurm-worker-023]
ok: [cluster-128-slurm-worker-024]
ok: [cluster-128-slurm-worker-029]
ok: [cluster-128-slurm-worker-026]
ok: [cluster-128-slurm-worker-022]
ok: [cluster-128-slurm-worker-027]
ok: [cluster-128-slurm-worker-028]
ok: [cluster-128-slurm-worker-030]
ok: [cluster-128-slurm-worker-032]
ok: [cluster-128-slurm-worker-031]
ok: [cluster-128-slurm-worker-025]
ok: [cluster-128-slurm-frontend-001]
ok: [cluster-128-postgresql-worker-001]
ok: [cluster-128-ganglia-server-001]
ok: [cluster-128-postgresql-worker-002]
ok: [cluster-128-postgresql-worker-003]
ok: [cluster-128-postgresql-worker-005]
ok: [cluster-128-postgresql-master-001]
ok: [cluster-128-postgresql-worker-004]
ok: [cluster-128-postgresql-worker-006]
ok: [cluster-128-glusterfs-server-001]
ok: [cluster-128-glusterfs-server-006]
ok: [cluster-128-postgresql-worker-007]
ok: [cluster-128-postgresql-worker-008]
ok: [cluster-128-glusterfs-server-007]
ok: [cluster-128-glusterfs-server-002]
ok: [cluster-128-glusterfs-server-005]
ok: [cluster-128-glusterfs-server-003]
ok: [cluster-128-glusterfs-server-008]
ok: [cluster-128-glusterfs-server-004]

TASK [cloud-instance : include] **************************************************************************************************************************************************
included: /home/centos/.local/lib/python2.7/site-packages/tmdeploy/share/playbooks/tissuemaps/roles/cloud-instance/tasks/os.yml for cluster-128-slurm-worker-001, cluster-128-slurm-worker-003, cluster-128-slurm-worker-002, cluster-128-slurm-worker-004, cluster-128-slurm-worker-005, cluster-128-slurm-worker-006, cluster-128-slurm-worker-007, cluster-128-slurm-worker-008, cluster-128-slurm-worker-009, cluster-128-slurm-worker-010, cluster-128-slurm-worker-011, cluster-128-slurm-worker-012, cluster-128-slurm-worker-013, cluster-128-slurm-worker-014, cluster-128-slurm-worker-015, cluster-128-slurm-worker-016, cluster-128-slurm-worker-017, cluster-128-slurm-worker-018, cluster-128-slurm-worker-019, cluster-128-slurm-worker-020, cluster-128-slurm-worker-021, cluster-128-slurm-worker-022, cluster-128-slurm-worker-023, cluster-128-slurm-worker-024, cluster-128-slurm-worker-025, cluster-128-slurm-worker-026, cluster-128-slurm-worker-027, cluster-128-slurm-worker-028, cluster-128-slurm-worker-029, cluster-128-slurm-worker-030, cluster-128-slurm-worker-031, cluster-128-slurm-worker-032, cluster-128-slurm-frontend-001, cluster-128-ganglia-server-001, cluster-128-postgresql-master-001, cluster-128-postgresql-worker-002, cluster-128-postgresql-worker-001, cluster-128-postgresql-worker-003, cluster-128-postgresql-worker-004, cluster-128-postgresql-worker-005, cluster-128-postgresql-worker-006, cluster-128-postgresql-worker-007, cluster-128-postgresql-worker-008, cluster-128-glusterfs-server-001, cluster-128-glusterfs-server-002, cluster-128-glusterfs-server-003, cluster-128-glusterfs-server-004, cluster-128-glusterfs-server-005, cluster-128-glusterfs-server-006, cluster-128-glusterfs-server-007, cluster-128-glusterfs-server-008

TASK [cloud-instance : Create network] *******************************************************************************************************************************************
changed: [cluster-128-slurm-worker-001 -> localhost]

TASK [cloud-instance : Create subnetwork] ****************************************************************************************************************************************
changed: [cluster-128-slurm-worker-001 -> localhost]

TASK [cloud-instance : Create router] ********************************************************************************************************************************************
changed: [cluster-128-slurm-worker-001 -> localhost]

TASK [cloud-instance : Upload public SSH key] ************************************************************************************************************************************
ok: [cluster-128-slurm-worker-001 -> localhost]

TASK [cloud-instance : Create web security group] ********************************************************************************************************************************
ok: [cluster-128-slurm-worker-001 -> localhost]

TASK [cloud-instance : Create ingress TCP (HTTP 8080) rule for web security group] ***********************************************************************************************
ok: [cluster-128-slurm-worker-001 -> localhost]

TASK [cloud-instance : Create ingress TCP (HTTP 80) rule for web security group] *************************************************************************************************
ok: [cluster-128-slurm-worker-001 -> localhost]

TASK [cloud-instance : Create ingress TCP (HTTPS 443) rule for web security group] ***********************************************************************************************
ok: [cluster-128-slurm-worker-001 -> localhost]

TASK [cloud-instance : Create ingress TCP (SSH 22) rule for web security group] **************************************************************************************************
ok: [cluster-128-slurm-worker-001 -> localhost]

TASK [cloud-instance : Create ingress ICMP (Ping) rule for web security group] ***************************************************************************************************
ok: [cluster-128-slurm-worker-001 -> localhost]

TASK [cloud-instance : Create compute-storage security group] ********************************************************************************************************************
ok: [cluster-128-slurm-worker-001 -> localhost]

TASK [cloud-instance : Create ingress TCP rule I for compute-storage security group] *********************************************************************************************
ok: [cluster-128-slurm-worker-001 -> localhost]

TASK [cloud-instance : Create ingress TCP rule II for compute-storage security group] ********************************************************************************************
ok: [cluster-128-slurm-worker-001 -> localhost]

TASK [cloud-instance : Create ingress UDP rule I for compute-storage security group] *********************************************************************************************
ok: [cluster-128-slurm-worker-001 -> localhost]

TASK [cloud-instance : Create ingress UDP rule II for compute-storage security group] ********************************************************************************************
ok: [cluster-128-slurm-worker-001 -> localhost]

TASK [cloud-instance : Create ingress ICMP (Ping) rule I for compute-storage security group] *************************************************************************************
ok: [cluster-128-slurm-worker-001 -> localhost]

TASK [cloud-instance : Create ingress ICMP (Ping) rule II for compute-storage security group] ************************************************************************************
ok: [cluster-128-slurm-worker-001 -> localhost]

TASK [cloud-instance : Create instance] ******************************************************************************************************************************************
changed: [cluster-128-slurm-worker-006 -> localhost]
changed: [cluster-128-slurm-worker-007 -> localhost]
changed: [cluster-128-slurm-worker-018 -> localhost]
changed: [cluster-128-slurm-worker-010 -> localhost]
changed: [cluster-128-slurm-worker-005 -> localhost]
changed: [cluster-128-slurm-worker-017 -> localhost]
changed: [cluster-128-slurm-worker-002 -> localhost]
changed: [cluster-128-slurm-worker-011 -> localhost]
changed: [cluster-128-slurm-worker-008 -> localhost]
changed: [cluster-128-slurm-worker-003 -> localhost]
changed: [cluster-128-slurm-worker-015 -> localhost]
changed: [cluster-128-slurm-worker-020 -> localhost]
changed: [cluster-128-slurm-worker-019 -> localhost]
changed: [cluster-128-slurm-worker-001 -> localhost]
changed: [cluster-128-slurm-worker-004 -> localhost]
changed: [cluster-128-slurm-worker-009 -> localhost]
changed: [cluster-128-slurm-worker-012 -> localhost]
changed: [cluster-128-slurm-worker-014 -> localhost]
changed: [cluster-128-slurm-worker-013 -> localhost]
changed: [cluster-128-slurm-worker-016 -> localhost]
changed: [cluster-128-slurm-worker-023 -> localhost]
changed: [cluster-128-slurm-worker-024 -> localhost]
changed: [cluster-128-slurm-worker-022 -> localhost]
changed: [cluster-128-slurm-worker-025 -> localhost]
changed: [cluster-128-slurm-worker-021 -> localhost]
changed: [cluster-128-slurm-worker-029 -> localhost]
changed: [cluster-128-slurm-worker-026 -> localhost]
changed: [cluster-128-slurm-worker-028 -> localhost]
changed: [cluster-128-slurm-worker-027 -> localhost]
changed: [cluster-128-postgresql-master-001 -> localhost]
changed: [cluster-128-postgresql-worker-004 -> localhost]
changed: [cluster-128-slurm-frontend-001 -> localhost]
changed: [cluster-128-postgresql-worker-003 -> localhost]
changed: [cluster-128-slurm-worker-030 -> localhost]
changed: [cluster-128-slurm-worker-032 -> localhost]
changed: [cluster-128-ganglia-server-001 -> localhost]
changed: [cluster-128-postgresql-worker-005 -> localhost]
changed: [cluster-128-postgresql-worker-001 -> localhost]
changed: [cluster-128-slurm-worker-031 -> localhost]
changed: [cluster-128-postgresql-worker-002 -> localhost]
changed: [cluster-128-postgresql-worker-007 -> localhost]
changed: [cluster-128-postgresql-worker-008 -> localhost]
changed: [cluster-128-postgresql-worker-006 -> localhost]
changed: [cluster-128-glusterfs-server-001 -> localhost]
changed: [cluster-128-glusterfs-server-002 -> localhost]
changed: [cluster-128-glusterfs-server-006 -> localhost]
changed: [cluster-128-glusterfs-server-004 -> localhost]
changed: [cluster-128-glusterfs-server-008 -> localhost]
changed: [cluster-128-glusterfs-server-003 -> localhost]
changed: [cluster-128-glusterfs-server-007 -> localhost]
changed: [cluster-128-glusterfs-server-005 -> localhost]

TASK [cloud-instance : Add new host to inventory] ********************************************************************************************************************************
changed: [cluster-128-slurm-worker-001]

TASK [cloud-instance : Create storage volume] ************************************************************************************************************************************
skipping: [cluster-128-slurm-worker-001]
skipping: [cluster-128-slurm-worker-002]
skipping: [cluster-128-slurm-worker-003]
skipping: [cluster-128-slurm-worker-004]
skipping: [cluster-128-slurm-worker-005]
skipping: [cluster-128-slurm-worker-006]
skipping: [cluster-128-slurm-worker-007]
skipping: [cluster-128-slurm-worker-008]
skipping: [cluster-128-slurm-worker-009]
skipping: [cluster-128-slurm-worker-010]
skipping: [cluster-128-slurm-worker-011]
skipping: [cluster-128-slurm-worker-012]
skipping: [cluster-128-slurm-worker-013]
skipping: [cluster-128-slurm-worker-014]
skipping: [cluster-128-slurm-worker-015]
skipping: [cluster-128-slurm-worker-016]
skipping: [cluster-128-slurm-worker-017]
skipping: [cluster-128-slurm-worker-018]
skipping: [cluster-128-slurm-worker-019]
skipping: [cluster-128-slurm-worker-020]
skipping: [cluster-128-slurm-worker-021]
skipping: [cluster-128-slurm-worker-022]
skipping: [cluster-128-slurm-worker-023]
skipping: [cluster-128-slurm-worker-024]
skipping: [cluster-128-slurm-worker-025]
skipping: [cluster-128-slurm-worker-027]
skipping: [cluster-128-slurm-worker-026]
skipping: [cluster-128-slurm-worker-028]
skipping: [cluster-128-slurm-worker-029]
skipping: [cluster-128-slurm-worker-030]
skipping: [cluster-128-slurm-worker-031]
skipping: [cluster-128-slurm-worker-032]
